corporate_identification_number,company_name,paidup_capital,year,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,rank
L01132WB1889PLC000576,NEW CHUMTA TEA COMPANY LIMITED,21400000,1889,Agriculture & allied,1
U01132WB1982PLC000453,NORTHERN BENGAL TEA CORPN LTD,20506000,1882,Agriculture & allied,2
U45201PN1891PLC000090,AHMEDNAGAR IMARAT COMPANY LIMITED,500000,1891,Construction,1
U45202PB1898PTC002729,BACHITTER SINGH ANDSONS FINANCE PVT LTD,414000,1898,Construction,2
L99999MH1863PLC000002,BOMBAY BURMAH TRADING CORPORATIONLIMITED,139543800,1863,Extraterritorial organizations and bodies,1
U99999PN1885PLC000069,THE DECCAN PAPER MILLS COMPANY LIMITED,2387500,1885,Extraterritorial organizations and bodies,2
U65110TN1881PLC002799,SRIMAN MADHWA SIDHANTAONNAHINI PERMANENT NIDHI LIMITED,64693490,1881,Financial intermediation,1
L65993WB1897PLC001409,CHEVIOT CO LTD,64668750,1897,Financial intermediation,2
U85300WB1894NPL000942,JALPAIGURI CLUB COMPANY LTD,98410,1894,Health and social work,1
U55101AS1897PLC000060,CACHAR CLUB CO LTD,23605300,1897,Hotels and restaurants,1
L17120MH1897PLC000163,CENTURY TEXTILES AND INDUSTRIES LIMITED,1116900000,1897,Manufacturing,1
L17120MH1871PLC000005,PENINSULA LAND LIMITED,559000000,1871,Manufacturing,2
U10200WB1899PLC000255,R. C. A. LIMITED,6300680,1899,Mining and quarrying,1
U10200WB1873PLC000262,THE NEW BEERBHOOM COAL CO LTD,3197210,1873,Mining and quarrying,2
U91990UP1891PLC000014,WHELER CLUB LTD.,2130021,1891,Other community social and personal service activities,1
U91990TZ1889GAP000136,OOTACAMUND CLUB,0,1889,Other community social and personal service activities,2
U91990TZ1896NPL000137,OOTACAMUND GYMKHANA CLUB,0,1896,Other community social and personal service activities,2
U91900KL1896GAT001524,MALABAR CLUB,0,1896,Other community social and personal service activities,2
U91110UP1894NPL000017,THE UPPER INDIA CHAMBER OF COMMERCE,0,1894,Other community social and personal service activities,2
U91990UP1898NPL000028,THE BENARES CLUB LIMITED,0,1898,Other community social and personal service activities,2
U91990UP1899NPL000033,THE MAHOMED BAGH CLUB LIMITED,0,1899,Other community social and personal service activities,2
L74899DL1889PLC000004,D C M LIMITED,186746315,1889,Real estate renting and business activities,1
L74110WB1895PLC000963,THE GROB TEA CO LTD,11623300,1895,Real estate renting and business activities,2
U63022GJ1889PLC000006,THE MOTILAL HIRABHAI ESTATE ANDWAREHOUSE LIMITED,999000,1889,Transport storage and communications,1
U63020BR1879PLC000001,JAMALPUR ICE COMPANY LIMITED,17800,1879,Transport storage and communications,2
L51909WB1890PLC000625,HOWRAH MILLS CO LTD,64443070,1890,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
L51909WB1895PLC001021,ALLIANCE UDYOG LTD.,6000000,1895,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,2
